Corpus,participants,Stat,Age,Activity,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,Verbs_Utt,FREQ_types,FREQ_tokens,Language,Group,Age(Month),MLU50_Words,MLU50_Morphemes,TNW_50,Clauses_per_sentence_50,NDW_100,*-PRESP,*-PL,*-POSS,*-PAST,*-S3
SALT Narrative SSS,37,Mean,6.22,Narration,32.62,30.81,6.98,7.63,1.29,81.97,208.76,English,TD,6;0 to 6;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,37,SD,0.14,Narration,17.55,16.59,1.33,1.45,0.21,31.05,103.35,English,TD,6;0 to 6;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,30,Mean,6.79,Narration,45.8,41.67,7.09,7.73,1.33,98.53,292.3,English,TD,6;6 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,30,SD,0.16,Narration,23.76,21.59,1.19,1.31,0.22,37.86,148.84,English,TD,6;6 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,62,Mean,7.22,Narration,48.58,45.42,7.16,7.85,1.38,108,322.84,English,TD,7;0 to 7;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,62,SD,0.15,Narration,26.76,24.39,1.04,1.13,0.23,39.74,163.95,English,TD,7;0 to 7;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,19,Mean,7.72,Narration,55.79,52.26,7.74,8.5,1.5,137.53,420.05,English,TD,7;6 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,19,SD,0.19,Narration,32.61,30.01,1.54,1.7,0.31,65.57,292.08,English,TD,7;6 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,36,Mean,8.31,Narration,77.78,70.53,8.04,8.86,1.58,166.06,557.03,English,TD,8;0 to 8;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,36,SD,0.17,Narration,51.03,44.95,1.44,1.59,0.27,77.26,353.69,English,TD,8;0 to 8;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,23,Mean,8.73,Narration,70.35,64.78,7.91,8.75,1.52,150,506.35,English,TD,8;6 to 9;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,23,SD,0.20,Narration,38.43,32.76,0.95,1.14,0.22,66.27,262.79,English,TD,8;6 to 9;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,22,Mean,9.14,Narration,52,49.09,7.44,8.2,1.45,106.91,358.09,English,TD,9;0 to 9;5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,22,SD,0.11,Narration,25.82,24.11,1.24,1.36,0.27,36.23,176.93,English,TD,9;0 to 9;5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,27,Mean,11.08,Narration,52.44,48.89,8.37,9.42,1.6,139.52,436.63,English,TD,10;9 to 11;4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,27,SD,0.17,Narration,48.08,44.42,1.45,1.68,0.32,104.1,445.31,English,TD,10;9 to 11;4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,27,Mean,13.01,Narration,60.7,56.04,8.45,9.37,1.65,142.44,463.59,English,TD,12;9 to 13;3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Narrative SSS,27,SD,0.15,Narration,52.76,49.02,1.96,2.16,0.34,76.19,399.21,English,TD,12;9 to 13;3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,43,Mean,4.49,Narrative retell and picture narrative,22.51,15.93,5.7,6.32,1.17,48.6,94.72,English,TD,4;0 to 5;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,43,SD,0.30,Narrative retell and picture narrative,13.51,11.59,1.29,1.41,0.3,29.96,73.96,English,TD,4;0 to 5;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,66,Mean,5.67,Narrative retell and picture narrative,26.5,20,5.98,6.61,1.27,60.58,128.23,English,TD,5;0 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,66,SD,0.28,Narrative retell and picture narrative,19.82,14.52,1.29,1.4,0.27,35.93,108.74,English,TD,5;0 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,80,Mean,6.53,Narrative retell and picture narrative,30.05,25.96,6.62,7.27,1.36,80.84,177.32,English,TD,6;0 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,80,SD,0.32,Narrative retell and picture narrative,15.71,15.21,1.27,1.42,0.25,37.83,112.59,English,TD,6;0 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,114,Mean,7.49,Narrative retell and picture narrative,34.45,31.02,7.19,7.9,1.45,99.02,225.82,English,TD,7;0 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,114,SD,0.31,Narrative retell and picture narrative,15.97,15.72,1.08,1.15,0.22,35.3,121.89,English,TD,7;0 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,130,Mean,8.52,Narrative retell and picture narrative,40.25,36.91,7.54,8.28,1.56,117.56,278.5,English,TD,8;0 to 9;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,130,SD,0.33,Narrative retell and picture narrative,14.55,13.98,0.95,1,0.18,31.51,107.05,English,TD,8;0 to 9;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,137,Mean,9.51,Narrative retell and picture narrative,40.44,37.37,7.86,8.63,1.62,125.69,296.17,English,TD,9;0 to 10;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,137,SD,0.34,Narrative retell and picture narrative,11.85,11.69,1.03,1.14,0.22,33.75,104.74,English,TD,9;0 to 10;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,121,Mean,10.49,Narrative retell and picture narrative,45.59,42.76,8.34,9.15,1.74,146.35,354.77,English,TD,10;0 to 11;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,121,SD,0.33,Narrative retell and picture narrative,15.21,14.22,1.14,1.27,0.25,36.77,117.63,English,TD,10;0 to 11;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,85,Mean,11.38,Narrative retell and picture narrative,46.41,43.38,8.33,9.13,1.76,145.48,355.41,English,TD,11;0 to 12;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,85,SD,0.30,Narrative retell and picture narrative,18.21,16.87,1.11,1.24,0.24,35.46,120.71,English,TD,11;0 to 12;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,33,Mean,12.44,Narrative retell and picture narrative,52.55,49.67,8.72,9.61,1.86,168.7,423.42,English,TD,12;0 to 13;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,33,SD,0.32,Narrative retell and picture narrative,22.35,22.83,1.29,1.43,0.26,45.75,176.75,English,TD,12;0 to 13;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,31,Mean,13.40,Narrative retell and picture narrative,45.68,43.13,8.52,9.41,1.78,157.71,367.68,English,TD,13;0 to 14;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,31,SD,0.29,Narrative retell and picture narrative,15.01,14.95,1.09,1.2,0.23,45.7,134.55,English,TD,13;0 to 14;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,18,Mean,14.35,Narrative retell and picture narrative,50.06,47.44,8.81,9.86,1.86,169.22,411.61,English,TD,14;0 to 14;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL2 Narrative Samples,18,SD,0.24,Narrative retell and picture narrative,21.35,21.44,0.86,0.95,0.18,49.11,168.64,English,TD,14;0 to 14;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL Narrative Samples,55,Mean,5.61,Narrative retell and picture narrative,29.75,25.42,6.66,7.29,1.37,84.42,175.13,English,TD,5;0 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL Narrative Samples,55,SD,0.27,Narrative retell and picture narrative,10.86,9.84,1.21,1.27,0.25,30.48,86.98,English,TD,5;0 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL Narrative Samples,108,Mean,6.52,Narrative retell and picture narrative,31.43,27.68,7.18,7.87,1.46,93.78,203.47,English,TD,6;0 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL Narrative Samples,108,SD,0.31,Narrative retell and picture narrative,12.9,12.25,1.28,1.36,0.27,35.49,103.92,English,TD,6;0 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL Narrative Samples,112,Mean,7.50,Narrative retell and picture narrative,37.28,34.26,7.86,8.61,1.58,119.47,274.31,English,TD,7;0 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT TNL Narrative Samples,112,SD,0.33,Narrative retell and picture narrative,17.01,16.29,1.27,1.37,0.25,45.53,144.32,English,TD,7;0 to 8;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
