File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,participants,Stat
NA,eng,SALT Conversation,NA,9;0 to 9;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,39,33,4.06,4.46,NA,NA,NA,84,156,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Min
NA,eng,SALT Conversation,NA,9;0 to 9;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,379,358,9.42,10.25,NA,NA,NA,458,2209,NA,NA,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Max
NA,eng,SALT Conversation,NA,9;0 to 9;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,99.55,91.76,1.09,1.2,NA,NA,NA,107.65,539.86,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,SD
NA,eng,SALT Conversation,NA,9;6 to 9;11,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,66.44,63.11,6.28,7.03,NA,NA,NA,151.44,377.22,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Mean
NA,eng,SALT Conversation,NA,9;6 to 9;11,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,36,36,4.6,5.13,NA,NA,NA,109,244,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Min
NA,eng,SALT Conversation,NA,9;6 to 9;11,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,117,107,7.65,8.52,NA,NA,NA,210,568,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Max
NA,eng,SALT Conversation,NA,9;6 to 9;11,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,28.07,26.73,1.11,1.26,NA,NA,NA,33.76,115.56,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,SD
NA,eng,SALT Conversation,NA,10;9 to 11;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,233.68,218.88,6.14,6.74,NA,NA,NA,355.36,1346.2,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Mean
NA,eng,SALT Conversation,NA,10;9 to 11;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,148,138,3.46,3.74,NA,NA,NA,181,492,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Min
NA,eng,SALT Conversation,NA,10;9 to 11;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,304,278,8.63,9.63,NA,NA,NA,492,2089,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Max
NA,eng,SALT Conversation,NA,10;9 to 11;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,45.46,42.61,1.28,1.41,NA,NA,NA,65.41,376.89,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,SD
NA,eng,SALT Conversation,NA,12;9 to 13;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,229.93,212.04,5.78,6.38,NA,NA,NA,330.37,1233.63,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Mean
NA,eng,SALT Conversation,NA,12;9 to 13;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,169,161,4.15,4.71,NA,NA,NA,253,715,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Min
NA,eng,SALT Conversation,NA,12;9 to 13;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,338,295,7.64,8.48,NA,NA,NA,523,1867,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,Max
NA,eng,SALT Conversation,NA,12;9 to 13;3,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,47.86,40.1,1,1.06,NA,NA,NA,61.65,338.85,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,SD
NA,eng,SALT Persuasion,NA,12;10 to 13;11,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,21.04,19.68,15.22,16.82,NA,NA,NA,119.36,286.21,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Mean
NA,eng,SALT Persuasion,NA,12;10 to 13;11,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,8,7,9.96,11.33,NA,NA,NA,74,121,NA,NA,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Min
NA,eng,SALT Persuasion,NA,12;10 to 13;11,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,58,58,27.06,29.33,NA,NA,NA,247,819,NA,NA,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Max
NA,eng,SALT Persuasion,NA,12;10 to 13;11,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,11.75,11.15,4.04,4.48,NA,NA,NA,40.45,153.2,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,SD
NA,eng,SALT Persuasion,NA,14;7 to 15;0,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,29.8,28.87,16.25,17.99,NA,NA,NA,164.2,462.47,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Mean
NA,eng,SALT Persuasion,NA,14;7 to 15;0,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,11,11,12.38,13.62,NA,NA,NA,92,199,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Min
NA,eng,SALT Persuasion,NA,14;7 to 15;0,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,82,80,19.44,21.67,NA,NA,NA,305,1312,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,Max
NA,eng,SALT Persuasion,NA,14;7 to 15;0,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,17.66,17.32,2.25,2.47,NA,NA,NA,55.77,278.3,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,SD
NA,eng,SALT Persuasion,NA,15;0 to 15;11,NA,TD,NA,NA,NA,NA,NA,NA,Persuasion,NA,27.92,26.62,16.35,18.03,NA,NA,NA,150.96,421.44,NA,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,Mean
