File_DB	Language	Corpus	Code	Age(Month)	Sex	Group	Race	SES	Role	Education	Custom_field	Design	Activity	Group...7	Total_Utts	MLU_Utts	MLU_Words	MLU_Morphemes	MLU50_Utts	MLU50_Words	MLU50_Morphemes	FREQ_types	FREQ_tokens	NDW_100	VOCD_D_optimum_average	Verbs_Utt	Word_Errors	Utt_Errors	retracing	repetition	DSS_Utts	DSS	mor_Words	*-PRESP	in	on	*-PL	*-POSS	u-cop	det:art	*-PAST	*-3S	irr-3S	u-aux	c-cop	c-aux	Total_non_zero_mors	participants	Stat
NA	eng	SALT Expository	NA	13;0 to 14;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	36.4	36.07	1.8	1.93	NA	NA	NA	62.41	438.37	NA	NA	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	SD
NA	eng	SALT Expository	NA	14;0 to 15;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	62.38	60.59	12.5	13.77	NA	NA	NA	209.38	775.24	NA	NA	2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	Mean
NA	eng	SALT Expository	NA	14;0 to 15;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	39.02	38.28	2.24	2.43	NA	NA	NA	78.36	537.58	NA	NA	0.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	SD
NA	eng	SALT Expository	NA	15;0 to 15;11	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	57.54	55.95	12.9	14.24	NA	NA	NA	204.38	718.38	NA	NA	2.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	Mean
NA	eng	SALT Expository	NA	15;0 to 15;11	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	25.39	24.88	2.04	2.23	NA	NA	NA	56.53	348.12	NA	NA	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	SD
NA	eng	SALT Expository	NA	16;1 to 17;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	66.37	64.48	12.75	14.01	NA	NA	NA	214.41	786.22	NA	NA	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	Mean
NA	eng	SALT Expository	NA	16;1 to 17;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	39.48	38.79	2.36	2.5	NA	NA	NA	67.64	407.61	NA	NA	0.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	SD
NA	eng	SALT Expository	NA	17;0 to 18;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	70.68	67.77	12.88	14.18	NA	NA	NA	227.68	872.23	NA	NA	2.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	Mean
NA	eng	SALT Expository	NA	17;0 to 18;0	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	34.77	33.25	2.38	2.57	NA	NA	NA	71.3	485.57	NA	NA	0.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31	SD
NA	eng	SALT Expository	NA	18;0 to 18;9	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	76.39	74	12.61	13.95	NA	NA	NA	234.78	927.33	NA	NA	2.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	Mean
NA	eng	SALT Expository	NA	18;0 to 18;9	NA	TD	NA	NA	NA	NA	NA	NA	Exposition	NA	63.17	60.88	2.33	2.53	NA	NA	NA	120.83	812.5	NA	NA	0.46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18	SD
NA	eng	SALT ENNI	NA	4;0 to 4;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	57.75	56.69	5.66	6.12	NA	NA	NA	103.06	321.25	NA	NA	1.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	Mean
NA	eng	SALT ENNI	NA	4;0 to 4;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	6.1	5.85	0.95	0.99	NA	NA	NA	23.02	64.86	NA	NA	0.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	SD
NA	eng	SALT ENNI	NA	4;6 to 5;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	71.74	71	6.62	7.08	NA	NA	NA	134.44	474.53	NA	NA	1.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	Mean
NA	eng	SALT ENNI	NA	4;6 to 5;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	16.71	16.54	0.99	1.03	NA	NA	NA	30.62	146.66	NA	NA	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	SD
NA	eng	SALT ENNI	NA	5;0 to 5;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	75.63	75.25	7.06	7.56	NA	NA	NA	142.19	532.94	NA	NA	1.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	Mean
NA	eng	SALT ENNI	NA	5;0 to 5;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	26.77	26.53	0.73	0.71	NA	NA	NA	37.54	200.64	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	SD
NA	eng	SALT ENNI	NA	5;6 to 6;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	75.13	74.69	7.27	7.81	NA	NA	NA	141.25	547.41	NA	NA	1.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	Mean
NA	eng	SALT ENNI	NA	5;6 to 6;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	24.83	24.54	1.02	1.05	NA	NA	NA	34.39	203.11	NA	NA	0.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	SD
NA	eng	SALT ENNI	NA	6;0 to 6;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	70.23	70.09	7.04	7.63	NA	NA	NA	136.64	496.55	NA	NA	1.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	Mean
NA	eng	SALT ENNI	NA	6;0 to 6;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	18.11	18.19	0.88	0.88	NA	NA	NA	25.76	146.85	NA	NA	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	SD
NA	eng	SALT ENNI	NA	6;6 to 7;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	74.3	73.84	7.09	7.69	NA	NA	NA	145.24	527.38	NA	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	Mean
NA	eng	SALT ENNI	NA	6;6 to 7;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	22.09	21.85	1.13	1.2	NA	NA	NA	35.13	184.57	NA	NA	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	SD
NA	eng	SALT ENNI	NA	7;0 to 7;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	74.37	74.04	8	8.7	NA	NA	NA	155.26	592.74	NA	NA	1.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	Mean
NA	eng	SALT ENNI	NA	7;0 to 7;6	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	20.13	20.06	1.06	1.14	NA	NA	NA	30.18	170.91	NA	NA	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	SD
NA	eng	SALT ENNI	NA	7;6 to 8;0	NA	TD	NA	NA	NA	NA	NA	NA	Picture narrative	NA	74.17	74.03	7.7	8.39	NA	NA	NA	153.97	572.89	NA	NA	1.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36	Mean
